time,target,machine_state,pid_output
39.03,50.0,53.3918980537059,-11.575307955157085
39.04,50.0,53.40854714715258,-11.580789934348234
39.050000000000004,50.0,53.2840089068686,-11.661448010903236
39.06,50.0,53.270020252092785,-11.620201557618142
39.07,50.0,53.14810940973723,-11.68436745111326
39.08,50.0,53.042346709926555,-11.649049233565593
39.09,50.0,53.01207842061359,-11.64503271281813
39.1,50.0,52.9525244467094,-11.690178626570393
39.11,50.0,52.80745797501504,-11.69883236940069
39.12,50.0,52.7921523035804,-11.651308503620706
39.13,50.0,52.721658435513326,-11.711490112509036
39.14,50.0,52.69409522645822,-11.70603041568171
39.15,50.0,52.591609001692404,-11.741246371353423
39.160000000000004,50.0,52.55377993991653,-11.713892790853762
39.17,50.0,52.48526865137476,-11.746216391662562
39.18,50.0,52.54477989659646,-11.743103331809118
39.19,50.0,52.56436475820126,-11.836635159621608
39.2,50.0,52.526547697784125,-11.876907785073646
39.21,50.0,52.504447031640815,-11.884417085927454
39.22,50.0,52.485973147014576,-11.914076737185178
39.230000000000004,50.0,52.45638406157049,-11.942854748380691
39.24,50.0,52.429113981217256,-11.962682926418633
39.25,50.0,52.38692803197258,-11.985948396978447
39.26,50.0,52.32716855174294,-11.99767616905741
39.27,50.0,52.25926658958189,-11.999189251021745
39.28,50.0,52.23873606916971,-11.997498772398664
39.29,50.0,52.20869223103049,-12.030288841579894
39.300000000000004,50.0,52.104599636747466,-12.046494642430334
39.31,50.0,51.96585453960976,-12.011207588611272
39.32,50.0,51.989496530129784,-11.964392357565627
39.33,50.0,51.861808350811515,-12.038533218309134
39.34,50.0,51.757764688370486,-11.972350219944513
39.35,50.0,51.632772167201274,-11.951423762425005
39.36,50.0,51.56769305658964,-11.90922931260278
39.37,50.0,51.54546049092397,-11.912187835257324
39.38,50.0,51.46265193515361,-11.932822768777543
39.39,50.0,51.4402170700596,-11.901243071898726
39.4,50.0,51.385280087075,-11.923703633537889
39.410000000000004,50.0,51.37652713893761,-11.910513919773594
39.42,50.0,51.336972540452194,-11.936022159758405
39.43,50.0,51.33894830752026,-11.930139118552875
39.44,50.0,51.34157089079115,-11.959517299810411
39.45,50.0,51.23725257538937,-11.981081518048283
39.46,50.0,51.17431199929219,-11.926092969243703
39.47,50.0,51.10726289123894,-11.920512909045419
39.480000000000004,50.0,51.025253551585436,-11.902775591996159
39.49,50.0,50.98728836561224,-11.87415767912314
